Lander,142
Cheyenne,67
Wausau,112
Hayward,39
EauClaire,65
Ashland,48
Milwaukee,131
Madison,128
LaCrosse,80
GreenBay,133
Bluefield,269
Morgantown,358
Wheeling,100
Huntington,268
Charleston,202
Beckley,174
Vancouver,75
Pullman,42
TriCities,75
Spokane,142
Seattle,370
Richmond,183
NorfolkVA,212
Lynchburg,215
Burlington,272
SaltLakeCity,261
CollegeStation,117
SanAntonio,185
Houston,232
Galveston,60
ElPaso,104
DallasFortWorth,462
CorpusChristi,164
Austin,159
Amarillo,151
Abilene,193
Nashville,247
Memphis,206
Chattanooga,206
Mitchell,57
SiouxFalls,131
Huron,53
Aberdeen,99
Aiken,47
GreenvilleSpartanburg,108
ColumbiaSC,163
Williamsport,347
Pittsburgh,452
Philadelphia,258
MiddletownHarrisburg,336
Erie,145
KlamathFalls,61
Portland,71
Salem,71
Pendleton,53
EUGENE,83
Astoria,235
Stillwater,172
Tulsa,180
Oklahoma,259
Zaneville,129
Toledo,189
Dayton,184
ColumbusOH,162
Cleveland,124
Cincinnati,194
Akron,182
Williston,94
GrandForks,153
Fargo,157
Bismarck,166
Raleigh,360
Charlotte,217
CapeHatteras,79
Asheville,232
GlensFalls,172
RochesterNY,314
NewYork,814
Buffalo,174
Albany,457
Roswell,99
Clayton,57
Albuquerque,202
Belvidere,355
NewBrunswick,172
Trenton,117
Manchester,103
Concord,159
Winnemucca,16
Reno,106
Ely,57
Elko,17
McCook,57
Hastings,71
Valentine,79
Scottsbluff,105
Omaha,177
NorfolkNE,69
NorthPlatte,43
Lincoln,137
GrandIsland,56
Missoula,84
Helena,98
Havre,29
GreatFalls,58
Glasgow,60
Jefferson,96
StLouis,368
SpringfieldMO,203
KansasCity,301
ColumbiaMO,149
Gulfport,78
Hattiesburg,50
Meridian,107
Jackson,114
SaintCloud,181
RochesterMN,112
Minneapolis,236
InternationalFalls,45
Duluth,92
Kalamazoo,79
Saginaw,191
SaultSteMarie,72
Muskegon,85
Marquette,99
Lansing,87
GrandRapids,70
Detroit,235
Worcester,396
Milton,221
Boston,114
Baltimore,219
PortlandME,461
Natchitoches,84
Monroe,86
Shreveport,195
LakeCharles,99
BatonRouge,218
Louisville,204
Lexington,199
Topeka,176
Goodland,56
DodgeCity,139
Concordia,148
CedarRapids,139
Spencer,183
Waterloo,132
SiouxCity,85
Dubuque,97
DesMoines,257
SouthBend,128
Indianapolis,339
FortWayne,166
Evansville,344
Springfield,243
Rockford,129
Peoria,202
Moline,158
Chicago,375
Lewiston,40
Boise,120
Savannah,138
Macon,116
ColumbusGA,99
Augusta,55
Atlanta,195
Athens,99
WestPalmBeach,89
Tampa,189
Tallahassee,146
Pensacola,73
Orlando,188
Miami,267
KeyWest,7
Jacksonville,91
Gainesville,116
FortMyers,92
WashingtonDC,434
Wilmington,167
Pueblo,72
GrandJunction,123
Denver,200
ColoradoSprings,80
CrescentCity,35
Escondido,64
Ukiah,182
Sacramento,506
Riverside,187
Needles,119
SanDiego,62
Redding,72
LosAngeles,348
Fresno,173
Eureka,41
Bakersfield,113
Russellville,72
PineBluff,111
Jonesboro,250
Harrison,132
LittleRock,92
FortSmith,153
Yuma,25
Tucson,107
Phoenix,167
Flagstaff,112
MuscleShoals,130
Montgomery,125
Mobile,77
Huntsville,100
Birmingham,185
